country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Albania,ALB,2021-01-29,,,,,0.0,,,,0.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-01-30,,,,,0.0,,,,0.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-01-31,,,,,0.0,,,,0.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-01,,,,,0.0,,,,0.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-02,550.0,549.0,1.0,,0.0,0.02,0.02,0.0,0.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-03,,,,,12.0,,,,4.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-04,,,,,24.0,,,,8.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-05,,,,,35.0,,,,12.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-06,,,,,47.0,,,,16.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-07,,,,,59.0,,,,21.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-08,,,,,71.0,,,,25.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-09,1127.0,689.0,438.0,,82.0,0.04,0.02,0.02,28.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-10,,,,,81.0,,,,28.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-11,,,,,79.0,,,,27.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-12,,,,,78.0,,,,27.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-13,,,,,76.0,,,,26.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-14,,,,,75.0,,,,26.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-15,,,,,73.0,,,,25.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-16,,,,,72.0,,,,25.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-17,1701.0,1090.0,611.0,,72.0,0.06,0.04,0.02,25.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-18,3049.0,2438.0,611.0,1348.0,254.0,0.11,0.08,0.02,88.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-19,4177.0,,,1128.0,405.0,0.15,,,141.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-20,,,,,516.0,,,,179.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-21,,,,,627.0,,,,218.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-22,6728.0,6073.0,655.0,,739.0,0.23,0.21,0.02,257.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-23,,,,,891.0,,,,310.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-24,,,,,1043.0,,,,362.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-25,10135.0,,,,1012.0,0.35,,,352.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-26,,,,,1000.0,,,,347.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-27,,,,,1027.0,,,,357.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-02-28,,,,,1054.0,,,,366.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-01,14295.0,,,,1081.0,0.5,,,376.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-02,,,,,1026.0,,,,357.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-03,15793.0,,,,971.0,0.55,,,337.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-04,,,,,927.0,,,,322.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-05,,,,,897.0,,,,312.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-06,,,,,867.0,,,,301.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-07,,,,,838.0,,,,291.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-08,,,,,808.0,,,,281.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-09,,,,,820.0,,,,285.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-10,21613.0,,,,831.0,0.75,,,289.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-11,,,,,857.0,,,,298.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-12,23635.0,,,,883.0,0.82,,,307.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-13,,,,,1042.0,,,,362.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-14,,,,,1201.0,,,,417.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-15,,,,,1361.0,,,,473.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-16,,,,,1520.0,,,,528.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-17,33369.0,,,,1679.0,1.16,,,583.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-18,,,,,1960.0,,,,681.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-19,,,,,2240.0,,,,778.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-20,,,,,2386.0,,,,829.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-21,,,,,2533.0,,,,880.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-22,48229.0,,,,2679.0,1.68,,,931.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-23,51690.0,,,3461.0,2895.0,1.8,,,1006.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-24,53992.0,,,2302.0,2946.0,1.88,,,1024.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-25,59348.0,,,5356.0,3287.0,2.06,,,1142.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-26,62248.0,,,2900.0,3276.0,2.16,,,1138.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-27,64075.0,,,1827.0,3113.0,2.23,,,1082.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-28,78000.0,,,13925.0,4678.0,2.71,,,1626.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-29,,,,,7204.0,,,,2503.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-30,119321.0,,,,9662.0,4.15,,,3357.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-03-31,138846.0,,,19525.0,12122.0,4.82,,,4212.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-04-01,155463.0,,,16617.0,13731.0,5.4,,,4771.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-04-02,172486.0,,,17023.0,15748.0,5.99,,,5472.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-04-03,185496.0,,,13010.0,17346.0,6.45,,,6028.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-04-04,192882.0,,,7386.0,16412.0,6.7,,,5703.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-04-05,206708.0,,,13826.0,15435.0,7.18,,,5363.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-04-06,221588.0,,,14880.0,14610.0,7.7,,,5077.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-04-07,232379.0,,,10791.0,13362.0,8.07,,,4643.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-04-08,242542.0,,,10163.0,12440.0,8.43,,,4323.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-04-09,250676.0,,,8134.0,11170.0,8.71,,,3881.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-04-10,256810.0,,,6134.0,10188.0,8.92,,,3540.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-04-11,,,,,9898.0,,,,3439.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-04-12,267531.0,,,,8689.0,9.3,,,3019.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-04-13,281216.0,,,13685.0,8518.0,9.77,,,2960.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-04-14,304488.0,,,23272.0,10301.0,10.58,,,3579.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Albania,ALB,2021-04-15,314622.0,,,10134.0,10297.0,10.93,,,3578.0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://twitter.com/gmanastirliu/status/1383134636965036040?s=21
Algeria,DZA,2021-01-29,0.0,,,,,0.0,,,,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2021-01-30,30.0,,,30.0,30.0,0.0,,,1.0,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
